,,Original circuit,,,Peephole,,,Peephole + LP,,,Qiskit,
Circuit,SQG,Entangling,T,SQG,Entangling,T,SQG,Entangling,T,SQG,Entangling,T
adder_n4_transpiled.qasm,77,10,11.9,52,6,6.3,52,6,6.3,51,10,9.8
adder_n10_transpiled.qasm,491,65,73.4,264,40,39.1,235,31,31.4,239,65,58.6
adder_n28_transpiled.qasm,1471,195,220.9,863,91,90.9,835,77,78,710,195,176.6
adder_n64_transpiled.qasm,3431,455,507.5,1963,198,195.4,1977,152,154.5,1654,455,411.6
basis_change_n3_transpiled.qasm,135,10,16,109,24,23.8,153,29,29.6,63,10,10.1
basis_test_n4_transpiled.qasm,343,46,53.6,68,7,7.8,103,11,11.8,120,20,19.9
basis_trotter_n4_transpiled.qasm,5263,582,738.7,505,103,104.6,886,130,133.2,1370,233,233
bell_n4_transpiled.qasm,88,7,10.1,28,5,5.2,28,5,5.2,30,5,5.2
bigadder_n18_transpiled.qasm,980,130,146.7,576,77,75.6,576,69,70,477,130,117.6
bv_n14_transpiled.qasm,159,13,13.9,26,3,3.1,26,3,3.1,29,13,10.5
bv_n19_transpiled.qasm,219,18,18.9,31,3,3.1,31,3,3.1,39,18,14.4
bv_n30_transpiled.qasm,285,18,18.9,31,3,3.1,31,3,3.1,39,18,14.4
bv_n70_transpiled.qasm,633,36,37,49,3,3.1,49,3,3.1,75,36,28.5
bv_n140_transpiled.qasm,1269,72,73,85,3,3.1,85,3,3.1,147,72,56.6
bv_n280_transpiled.qasm,2589,152,153.2,165,3,3.1,165,3,3.1,307,152,119.2
cat_n35_transpiled.qasm,207,34,34.6,202,34,34.1,202,34,34.1,136,34,30.4
cat_n65_transpiled.qasm,387,64,64.7,382,64,64.1,382,64,64.1,256,64,57.2
cat_n130_transpiled.qasm,777,129,129.8,772,129,129.3,772,129,129.3,516,129,115.2
cat_n260_transpiled.qasm,1557,259,260.1,1552,259,259.5,1552,259,259.5,1036,259,231.1
cat_state_n4_transpiled.qasm,21,3,3.6,16,3,3,16,3,3,12,3,2.8
cat_state_n22_transpiled.qasm,129,21,21.6,124,21,21,124,21,21,84,21,18.8
deutsch_n2_transpiled.qasm,15,1,1.9,14,2,2.2,14,2,2.2,5,1,1.1
